store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
192,TWN_0611,DSBH_TWN_0611,New Taipei Panchiao Far Eastern Mega City DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0611,113.9000,,,,,,,,2016-09-14 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,113.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
12,TWN_0148,DSBH_TWN_0148R,Hsinchu East Far Eastern Big city DS,2,22,Taiwan,APAC,Taiwan,Hsinchu,BH,0148,98.2000,,,,,,,,2014-03-07 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,98.2000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
333,TWN_0989,DSBH_TWN_0989,Hsinchu Far Eastern Mega City DS,2,22,Taiwan,APAC,Taiwan,Hsinchu,BH,0989,137.7000,,,,,,,,2017-10-10 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,137.7000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
191,TWN_0610,DSBH_TWN_0610,Taipei Ximending Wuchang SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0610,254.6000,,,,,,,,2016-11-04 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,254.6000,C,2021-05-17 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
379,TWN_0917,DSBH_TWN_0917,Keelung ESquare SM,2,22,Taiwan,APAC,Taiwan,Keelung,BH,0917,260.6000,,,,,,,,2018-02-14 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,260.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
3767,UA_COM,TWN_UA_COM,UA COM,2,0,Taiwan,,,,EC-TW,UA COM,0.0000,,,,,,,,2021-04-09 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
1948,TWN_0629,DSBH_TWN_0629R,Taipei Chungshan Miramar DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0629,118.6000,,,,,,,,2016-09-23 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,118.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
6,TWN_0129,DSBH_TWN_0129,Taichung Xitun Far Eastern Top City DS,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0129,93.8500,,,,,,,,2013-09-20 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,93.8500,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
11,TWN_0142,DSBH_TWN_0142,Taipei Daan Chungxiao SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0142,191.0000,,,,,,,,2013-12-30 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,191.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
58,TWN_0241,DSBH_TWN_0241,Taipei Datong Q Square DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0241,121.0000,,,,,,,,2015-03-14 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,121.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
14,TWN_0152,DSBH_TWN_0152R,Taichung Xitun Mitsukoshi DS,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0152,172.3000,,,,,,,,2016-09-07 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,172.3000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
206,TWN_0637,DSFH_TWN_0637,Taoyuan Chungli Gloria FH,2,22,Taiwan,APAC,Taiwan,Taoyuan,FH,0637,370.9000,,,,,,,,2015-12-17 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,370.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
28,TWN_0178,DSBH_TWN_0178R,Taipei Songshan Bade SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0178,268.4700,,,,,,,,2014-07-19 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,268.4700,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
288,TWN_0850,DSBH_TWN_0850,Tainan City Anpin Store SF,2,22,Taiwan,APAC,Taiwan,Tainan,BH,0850,496.2000,,,,,,,,2017-06-19 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,496.2000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
39,TWN_0200,DSBH_TWN_0200R,Taipei Xinyi Mitsukoshi A11 DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0200,82.3100,,,,,,,,2017-04-15 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,82.3100,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
33,TWN_0192,DSBH_TWN_0192,Kaohsiung Zuoying Mitsukoshi DS,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0192,102.5000,,,,,,,,2014-09-06 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,102.5000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
